archive_path	file_stem	resolved_isolate_id	resolution_method	matches_wgs
csv_median/721943_18_C3.csv	721943_18_C3	721943-18	numeric_tgnr	True
csv_median/722035_18_C5.csv	722035_18_C5	722035-18	numeric_tgnr	True
csv_median/136401_18_C7.csv	136401_18_C7	136401-18	numeric_tgnr	True
csv_median/720927_18_F4.csv	720927_18_F4	720927-18	numeric_tgnr	True
csv_median/c8ab5899_8bd0_447f_a1e2_e1cebd17b5ff_D3.csv	c8ab5899_8bd0_447f_a1e2_e1cebd17b5ff_D3	713467-18	uuid_mapped	True
csv_median/125418_18_G4.csv	125418_18_G4	125418-18	numeric_tgnr	True
csv_median/721474_18_E5.csv	721474_18_E5	721474-18	numeric_tgnr	True
csv_median/135499_18_C2.csv	135499_18_C2	135499-18	numeric_tgnr	True
csv_median/100676_19_E6.csv	100676_19_E6	100676-19	numeric_tgnr	True
csv_median/720815_18_D11.csv	720815_18_D11	720815-18	numeric_tgnr	True
csv_median/139956_18_B10.csv	139956_18_B10	139956-18	numeric_tgnr	True
csv_median/722072_18_B7.csv	722072_18_B7	722072-18	numeric_tgnr	True
csv_median/720916_18_A8_1.csv	720916_18_A8_1	720916-18	numeric_tgnr	True
csv_median/BTS_Validation_E1_23.csv	BTS_Validation_E1_23	BTS-Validation	unmapped_other	False
csv_median/721369_18_F5.csv	721369_18_F5	721369-18	numeric_tgnr	True
csv_median/129347_18_G4.csv	129347_18_G4	129347-18	numeric_tgnr	True
csv_median/133260_18_F3.csv	133260_18_F3	133260-18	numeric_tgnr	True
csv_median/720033_18_F1.csv	720033_18_F1	720033-18	numeric_tgnr	True
csv_median/133117_18_F6.csv	133117_18_F6	133117-18	numeric_tgnr	True
csv_median/117670_18_D9.csv	117670_18_D9	117670-18	numeric_tgnr	True
csv_median/103840_19_F9.csv	103840_19_F9	103840-19	numeric_tgnr	True
csv_median/150603_18_A11.csv	150603_18_A11	150603-18	numeric_tgnr	True
csv_median/116960_18_F9.csv	116960_18_F9	116960-18	numeric_tgnr	True
csv_median/138129_18_G7.csv	138129_18_G7	138129-18	numeric_tgnr	True
csv_median/118504_18_C6.csv	118504_18_C6	118504-18	numeric_tgnr	True
csv_median/722066_18_B3.csv	722066_18_B3	722066-18	numeric_tgnr	True
csv_median/105056_19_G12.csv	105056_19_G12	105056-19	numeric_tgnr	True
csv_median/721641_18_B10.csv	721641_18_B10	721641-18	numeric_tgnr	True
csv_median/129347_18_G1.csv	129347_18_G1	129347-18	numeric_tgnr	True
csv_median/719712_18_E12.csv	719712_18_E12	719712-18	numeric_tgnr	True
csv_median/118828_18_E8.csv	118828_18_E8	118828-18	numeric_tgnr	True
csv_median/720753_18_B8.csv	720753_18_B8	720753-18	numeric_tgnr	True
csv_median/712190_18_A10.csv	712190_18_A10	712190-18	numeric_tgnr	True
csv_median/139956_18_B12.csv	139956_18_B12	139956-18	numeric_tgnr	True
