threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
5,DRIAMS-C,Escherichia coli,Ciprofloxacin,0.749893312198988,nan,nan,0.5559061881929316,0.6541767687899493,nan,nan,0.21556186116261125,0.6560135184777018,nan,nan,0.6718530978413232,7134,nan,nan,nan,0.43792325056433407,interpretable,focal_signal_retained,886,188,388,39,2,5,5,False
5,DRIAMS-C,Escherichia coli,Norfloxacin,0.7786932412638627,nan,nan,0.6672425996935545,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,442,118,0,0,0,5,5,False
5,DRIAMS-D,Escherichia coli,Amoxicillin-Clavulanic acid,0.5567214707204269,nan,nan,0.249455098662542,0.5559198558217063,nan,nan,0.2338226158803783,0.4899354412921895,nan,nan,0.47111068251404326,207395,nan,nan,nan,0.9583751253761283,interpretable,weak_raw_signal,1994,332,1911,292,8,5,5,False
5,DRIAMS-D,Escherichia coli,Cefepime,0.7687533912099838,nan,nan,0.2750158301030471,0.6688888888888889,nan,nan,0.8907258480223178,0.6266666666666667,nan,nan,0.6826666666666666,375,nan,nan,nan,0.0390015600624025,caution_low_n_matched_and_low_retention,caution_low_matched_support,1923,80,75,60,2,5,5,False
5,DRIAMS-D,Escherichia coli,Ceftazidime,0.7273743641343843,nan,nan,0.33218932013741503,0.7212655186223468,nan,nan,0.4342407349387798,0.5899078894673608,nan,nan,0.6981132075471698,2120,nan,nan,nan,0.14192249622546552,interpretable,partially_retained_or_uncertain,1987,178,282,55,6,5,5,False
5,DRIAMS-D,Escherichia coli,Ceftriaxone,0.7258104429596635,nan,nan,0.3626331674094014,0.6745009416195857,nan,nan,0.05362046220578355,0.618631512868801,nan,nan,0.5222053435796622,11191,nan,nan,nan,0.8114343029087262,interpretable,focal_signal_retained,1994,198,1618,25,4,5,5,False
5,DRIAMS-D,Escherichia coli,Ciprofloxacin,0.6705659689751912,nan,nan,0.36860511659183787,0.6583539196971399,nan,nan,0.32912228746599437,0.5968073758000609,nan,nan,0.6156996644436409,237814,nan,nan,nan,0.962867457452295,interpretable,partially_retained_or_uncertain,1939,371,1867,323,7,5,5,False
10,A-2018,Escherichia coli,Amoxicillin-Clavulanic acid,0.6503454753868687,nan,nan,0.442900868418299,0.5798968927268332,nan,nan,0.24668627097458554,0.545827641069752,nan,nan,0.5459574721899139,67062,nan,nan,nan,0.7710314557425019,interpretable,background_driven_collapse,1367,383,1054,211,4,10,10,False
10,A-2018,Escherichia coli,Cefepime,0.8666358534169692,nan,nan,0.5439144552241646,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1230,65,0,0,0,10,10,False
10,A-2018,Escherichia coli,Ceftazidime,0.8377821753151569,nan,nan,0.4276352955513682,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1257,120,0,0,0,10,10,False
