organism,drug_a,drug_b,n_both_known,n_rr,prevalence_a,prevalence_b,rr_observed,rr_expected_independent,rr_lift,phi
Escherichia coli,Ciprofloxacin,Ceftazidime,1756,514,0.45842824601366744,0.3234624145785877,0.29271070615034167,0.1482843073666077,1.973983028606421,0.6196194169294905
Klebsiella pneumoniae,Amoxicillin/Clavulanic acid,Cefepime,16719,3564,0.31897840779950953,0.2687959806208505,0.21317064417728332,0.08574011392134673,2.4862416718134335,0.6167110589165176
Escherichia coli,Levofloxacin,Cefotaxime,1836,518,0.4400871459694989,0.32189542483660133,0.2821350762527233,0.14166203881697922,1.9916067748906872,0.6057001386685416
Escherichia coli,Levofloxacin,Ceftazidime,1836,518,0.4400871459694989,0.32189542483660133,0.2821350762527233,0.14166203881697922,1.9916067748906872,0.6057001386685416
Klebsiella pneumoniae,Levofloxacin,Amoxicillin/Clavulanic acid,14448,3345,0.29540420819490587,0.3427464008859358,0.2315199335548173,0.10124872916536364,2.2866453284237207,0.601612884657518
Escherichia coli,Ciprofloxacin,Cefepime,1755,489,0.45754985754985755,0.3076923076923077,0.27863247863247864,0.14078457155380233,1.979140722291407,0.5995054734911549
Escherichia coli,Levofloxacin,Cefepime,1835,493,0.43923705722070844,0.30299727520435965,0.2686648501362398,0.13308763150665606,2.0187063748504923,0.5944440452893144
Escherichia coli,Norfloxacin,Cefotaxime,348,93,0.5172413793103449,0.27873563218390807,0.2672413793103448,0.14417360285374556,1.85360824742268,0.5492742257737098
Escherichia coli,Norfloxacin,Ceftazidime,348,93,0.5172413793103449,0.27873563218390807,0.2672413793103448,0.14417360285374556,1.85360824742268,0.5492742257737098
Escherichia coli,Norfloxacin,Cefepime,348,90,0.5172413793103449,0.27011494252873564,0.25862068965517243,0.13971462544589774,1.8510638297872342,0.5359087075102842
Staphylococcus epidermidis,Erythromycin,Clindamycin,622,317,0.7154340836012861,0.5514469453376206,0.5096463022508039,0.39452393999234914,1.2918007010187702,0.5130086188716243
Klebsiella pneumoniae,Amoxicillin/Clavulanic acid,Trimethoprim/Sulfamethoxazole,16753,3272,0.3203605324419507,0.27684593804094787,0.19530830299050916,0.08869051211518934,2.202132994077731,0.5106653465689515
Klebsiella pneumoniae,Norfloxacin,Amoxicillin/Clavulanic acid,11871,2219,0.33063768848454217,0.2516215988543509,0.18692612248336282,0.08319558381798732,2.246827462528707,0.5081187792064799
Staphylococcus epidermidis,Clindamycin,Trimethoprim/Sulfamethoxazole,589,209,0.5314091680814941,0.432937181663837,0.3548387096774194,0.23006678753952628,1.5423291361272946,0.5046350616603825
Staphylococcus epidermidis,Oxacillin,Clindamycin,620,299,0.6645161290322581,0.55,0.482258064516129,0.365483870967742,1.319505736981465,0.49713082077486975
Staphylococcus epidermidis,Oxacillin,Trimethoprim/Sulfamethoxazole,593,230,0.6391231028667791,0.4300168634064081,0.38785834738617203,0.27483371202534346,1.4112473485436392,0.4753654014998739
Staphylococcus epidermidis,Oxacillin,Erythromycin,624,348,0.6650641025641025,0.7131410256410257,0.5576923076923077,0.47428449621959234,1.1758602951130366,0.39072589344466735
Escherichia coli,Ciprofloxacin,Trimethoprim/Sulfamethoxazole,1722,443,0.4564459930313589,0.37688734030197446,0.2572590011614402,0.17202871630508243,1.4954421952739974,0.3530927719956854
Escherichia coli,Levofloxacin,Trimethoprim/Sulfamethoxazole,1802,446,0.43784683684794673,0.38290788013318533,0.24750277469478357,0.16765500412046794,1.4762623757829578,0.33109468162812633
Escherichia coli,Amoxicillin/Clavulanic acid,Cefotaxime,1843,380,0.3950081389039609,0.3347802495930548,0.20618556701030927,0.13224092333355608,1.5591661175129572,0.32052835190811674
