isolate_id	inferred_year	run_accession	sample_accession	experiment_accession	study_accession	scientific_name	fastq_1	fastq_2	submitted_fastq_1	submitted_fastq_2	bam_ftp
720599-19	2019	ERR10177453	SAMEA111331725	ERX9713922	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/053/ERR10177453/ERR10177453_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/053/ERR10177453/ERR10177453_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177453/720599-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177453/720599-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/053/ERR10177453.bam
720602-18	2018	ERR10177454	SAMEA111331726	ERX9713923	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/054/ERR10177454/ERR10177454_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/054/ERR10177454/ERR10177454_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177454/720602-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177454/720602-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/054/ERR10177454.bam
720606-18	2018	ERR10177456	SAMEA111331728	ERX9713925	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/056/ERR10177456/ERR10177456_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/056/ERR10177456/ERR10177456_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177456/720606-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177456/720606-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/056/ERR10177456.bam
720638-19	2019	ERR10177459	SAMEA111331731	ERX9713928	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/059/ERR10177459/ERR10177459_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/059/ERR10177459/ERR10177459_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177459/720638-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177459/720638-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/059/ERR10177459.bam
720661-18	2018	ERR10177464	SAMEA111331736	ERX9713933	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/064/ERR10177464/ERR10177464_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/064/ERR10177464/ERR10177464_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177464/720661-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177464/720661-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/064/ERR10177464.bam
720675-19	2019	ERR10177466	SAMEA111331738	ERX9713935	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/066/ERR10177466/ERR10177466_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/066/ERR10177466/ERR10177466_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177466/720675-19_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177466/720675-19_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/066/ERR10177466.bam
720707-18	2018	ERR10177467	SAMEA111331739	ERX9713936	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/067/ERR10177467/ERR10177467_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/067/ERR10177467/ERR10177467_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177467/720707-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177467/720707-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/067/ERR10177467.bam
720729-18	2018	ERR10177471	SAMEA111331743	ERX9713940	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/071/ERR10177471/ERR10177471_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/071/ERR10177471/ERR10177471_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177471/720729-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177471/720729-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/071/ERR10177471.bam
720748-18	2018	ERR10177472	SAMEA111331744	ERX9713941	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/072/ERR10177472/ERR10177472_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/072/ERR10177472/ERR10177472_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177472/720748-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177472/720748-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/072/ERR10177472.bam
720753-18	2018	ERR10177473	SAMEA111331745	ERX9713942	PRJEB55855	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/073/ERR10177473/ERR10177473_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/073/ERR10177473/ERR10177473_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177473/720753-18_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR10177473/720753-18_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR101/073/ERR10177473.bam
